Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,prob_take_rcc,prob_stay,eligible_for_1/4_monthly_income,eligible_for_1/3_monthly_income,severance_package,MonthlyIncome_category,MonthlyIncome_category_code,group_combined,severance_group,YearlyRate,role_Healthcare Representative,role_Human Resources,role_Laboratory Technician,role_Manager,role_Manufacturing Director,role_Research Director,role_Research Scientist,role_Sales Executive,role_Sales Representative,dept_Human Resources,dept_Research & Development,dept_Sales,employee_count,rcc_offer
31.0,Travel_Rarely,1003.0,,3,Technical Degree,1,1749,1,Male,51,3,2,3,Married,8346,20943,1,Y,No,19,3,3,80,1,6,3,3,5,2,0,2,0.093671892,0.906328108,5,0,35470.5,"(8008.0, 9547.0]",15,15,7,23541.245209872002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093671892,0.0,0.0,0.0,0.093671892,1,0.0
,Travel_Rarely,1296.0,,4,Technical Degree,1,464,3,Male,62,3,3,2,Single,8095,18264,0,Y,No,13,3,4,80,0,17,5,3,16,6,0,13,0.105337756,0.894662244,10,6,60712.5,"(8008.0, 9547.0]",15,15,7,23086.665307008,0.0,0.0,0.0,0.0,0.105337756,0.0,0.0,0.0,0.0,0.0,0.105337756,0.0,1,0.0
57.0,Travel_Rarely,334.0,24.0,2,Life Sciences,1,223,3,Male,83,4,3,4,Divorced,9439,23402,3,Y,Yes,16,3,2,80,1,12,2,1,5,3,1,4,0.120106071,0.879893929,5,0,40115.75,"(8008.0, 9547.0]",15,15,7,33728.667282504,0.120106071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120106071,0.0,1,0.0
39.0,Travel_Rarely,1089.0,6.0,3,Life Sciences,1,1525,2,Female,32,3,3,2,Single,8376,9150,4,Y,No,18,3,4,80,0,9,3,3,2,0,2,2,0.134763839,0.865236161,2,0,29316.0,"(8008.0, 9547.0]",15,15,7,14797.0695222,0.0,0.0,0.0,0.0,0.134763839,0.0,0.0,0.0,0.0,0.0,0.134763839,0.0,1,0.0
,Travel_Rarely,1232.0,16.0,3,Marketing,1,406,3,Male,96,3,3,2,Married,8020,5100,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9,0.126366712,0.873633288,10,1,46783.33333333333,"(8008.0, 9547.0]",15,15,7,7733.642774399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126366712,0.0,0.0,0.0,0.126366712,1,0.0
46.0,Travel_Rarely,261.0,21.0,2,Medical,1,1821,4,Female,66,3,2,2,Married,8926,10842,4,Y,No,22,4,4,80,1,13,2,4,9,7,3,7,0.00156202,0.99843798,9,0,46861.5,"(8008.0, 9547.0]",15,15,7,203.22505008,0.00156202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156202,0.0,1,0.0
,Travel_Frequently,853.0,18.0,5,Life Sciences,1,74,2,Male,71,3,3,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,0.085005131,0.914994869,9,0,47612.25,"(8008.0, 9547.0]",15,15,7,11252.299200731999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085005131,0.0,0.0,0.0,0.085005131,1,0.0
37.0,Travel_Rarely,482.0,,3,Other,1,689,3,Male,36,3,3,3,Married,9434,9606,1,Y,No,15,3,3,80,1,10,2,3,10,7,7,8,0.032784646,0.967215354,10,0,51887.0,"(8008.0, 9547.0]",15,15,7,3779.151713712,0.0,0.0,0.0,0.0,0.032784646,0.0,0.0,0.0,0.0,0.0,0.032784646,0.0,1,0.0
30.0,Non-Travel,1398.0,22.0,4,Other,1,567,3,Female,69,3,3,1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,0.089344696,0.910655304,9,0,44163.0,"(8008.0, 9547.0]",15,15,7,3098.47405728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089344696,0.0,0.0,0.0,0.089344696,1,0.0
41.0,Travel_Rarely,918.0,6.0,3,Marketing,1,1708,4,Male,35,3,3,3,Single,9241,15869,1,Y,No,12,3,2,80,0,10,3,3,10,8,8,7,0.265860999,0.734139001,10,0,50825.5,"(8008.0, 9547.0]",15,15,7,50627.378317571995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265860999,0.0,0.0,0.0,0.265860999,1,0.0
34.0,Travel_Frequently,1069.0,2.0,1,Life Sciences,1,256,4,Male,45,2,2,3,Married,9547,14074,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9,0.001252417,0.998747583,10,0,52508.5,"(8008.0, 9547.0]",15,15,7,211.518202296,0.0,0.0,0.0,0.0,0.001252417,0.0,0.0,0.0,0.0,0.0,0.001252417,0.0,1,0.0
46.0,Travel_Rarely,,1.0,4,Medical,1,288,4,Male,97,3,3,1,Divorced,9396,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3,0.017939164,0.982060836,4,0,37584.0,"(8008.0, 9547.0]",15,15,7,2662.4589642240003,0.017939164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017939164,0.0,1,0.0
53.0,Travel_Rarely,1084.0,13.0,2,Medical,1,250,4,Female,57,4,2,1,Divorced,4450,26250,1,Y,No,11,3,3,80,2,5,3,3,4,2,1,3,0.003030546,0.996969454,4,0,17800.0,"(4306.0, 4648.0]",7,7,17,954.62199,0.0,0.0,0.0,0.0,0.003030546,0.0,0.0,0.0,0.0,0.0,0.003030546,0.0,1,0.0
,Travel_Rarely,776.0,1.0,4,Marketing,1,100,3,Male,32,2,2,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,0.051124088,0.948875912,10,5,30902.666666666664,"(4306.0, 4648.0]",7,7,17,14120.064112896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051124088,0.0,0.0,0.0,0.051124088,1,0.0
37.0,Non-Travel,1063.0,25.0,5,Medical,1,529,2,Female,72,3,2,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,0.039997931,0.960002069,10,3,28918.5,"(4306.0, 4648.0]",7,7,17,11455.087454952,0.0,0.0,0.0,0.0,0.0,0.0,0.039997931,0.0,0.0,0.0,0.039997931,0.0,1,0.0
47.0,Travel_Rarely,571.0,14.0,3,Medical,1,1503,3,Female,78,3,2,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2,0.112215875,0.887784125,5,0,19511.75,"(4306.0, 4648.0]",7,7,17,32587.490100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112215875,0.0,0.0,0.0,0.112215875,1,0.0
32.0,Travel_Frequently,1318.0,10.0,4,Marketing,1,1853,4,Male,79,3,2,4,Single,4648,26075,8,Y,No,13,3,3,80,0,4,2,4,0,0,0,0,0.375331163,0.624668837,0,0,13944.0,"(4306.0, 4648.0]",7,7,17,117441.1209027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375331163,0.0,0.0,0.0,0.375331163,1,0.0
39.0,Travel_Rarely,408.0,2.0,4,Technical Degree,1,721,4,Female,80,2,2,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,0.200437659,0.799562341,10,10,40218.16666666667,"(4306.0, 4648.0]",7,7,17,50457.374526023996,0.200437659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200437659,0.0,1,0.0
33.0,Travel_Frequently,827.0,29.0,4,Medical,1,1101,1,Female,54,2,2,3,Single,4508,3129,1,Y,No,22,4,2,80,0,14,4,3,13,7,3,8,0.056768961,0.943231039,10,3,29302.0,"(4306.0, 4648.0]",7,7,17,2131.560947628,0.0,0.0,0.0,0.0,0.0,0.0,0.056768961,0.0,0.0,0.0,0.056768961,0.0,1,0.0
,Travel_Rarely,1384.0,,4,Medical,1,1177,1,Male,82,4,1,4,Married,4420,13421,1,Y,No,22,4,2,80,1,8,2,3,8,7,0,7,0.01486443,0.98513557,8,0,22100.0,"(4306.0, 4648.0]",7,7,17,2393.9461803599997,0.0,0.0,0.01486443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01486443,0.0,1,0.0
36.0,Non-Travel,,1.0,4,Medical,1,1662,4,Female,33,2,2,3,Married,4374,15411,0,Y,No,15,3,3,80,0,4,6,3,3,2,1,2,0.002700169,0.997299831,3,0,16402.5,"(4306.0, 4648.0]",7,7,17,499.347653508,0.0,0.0,0.0,0.0,0.002700169,0.0,0.0,0.0,0.0,0.0,0.002700169,0.0,1,0.0
34.0,Travel_Rarely,131.0,2.0,3,Marketing,1,1281,3,Female,86,3,2,1,Single,4538,6039,0,Y,Yes,12,3,4,80,0,4,3,3,3,2,0,2,0.446295292,0.553704708,3,0,17017.5,"(4306.0, 4648.0]",7,7,17,32342.127220656002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446295292,0.0,0.0,0.0,0.446295292,1,0.0
34.0,Travel_Frequently,648.0,11.0,3,Life Sciences,1,1289,3,Male,56,2,2,2,Married,4490,21833,4,Y,No,11,3,4,80,2,14,5,4,10,9,1,8,0.006018991,0.993981009,10,0,24695.0,"(4306.0, 4648.0]",7,7,17,1576.9515660359998,0.0,0.006018991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006018991,0.0,0.0,1,0.0
54.0,Travel_Rarely,157.0,10.0,3,Medical,1,1980,3,Female,77,3,2,1,Single,4440,25198,6,Y,Yes,19,3,4,80,0,9,3,3,5,2,1,4,0.450825125,0.549174875,5,0,18870.0,"(4306.0, 4648.0]",7,7,17,136318.697997,0.0,0.0,0.0,0.0,0.450825125,0.0,0.0,0.0,0.0,0.0,0.450825125,0.0,1,0.0
,Travel_Frequently,138.0,2.0,3,Medical,1,269,2,Female,37,3,2,2,Single,4425,15986,5,Y,No,11,3,4,80,0,10,5,3,6,2,1,2,0.142050445,0.857949555,6,0,19912.5,"(4306.0, 4648.0]",7,7,17,27249.82096524,0.0,0.0,0.142050445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142050445,0.0,1,0.0
47.0,Travel_Rarely,249.0,2.0,2,Marketing,1,903,3,Female,35,3,2,4,Married,4537,17783,0,Y,Yes,22,4,1,80,1,8,2,3,7,6,7,7,0.092424369,0.907575631,7,0,21550.75,"(4306.0, 4648.0]",7,7,17,19722.990647124003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092424369,0.0,0.0,0.0,0.092424369,1,0.0
24.0,Travel_Rarely,581.0,9.0,3,Medical,1,1707,3,Male,62,4,1,3,Married,4401,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4,0.013454104,0.986545896,5,0,18704.25,"(4306.0, 4648.0]",7,7,17,2844.089952768,0.0,0.0,0.0,0.0,0.0,0.0,0.013454104,0.0,0.0,0.0,0.013454104,0.0,1,0.0
29.0,Non-Travel,1496.0,1.0,1,Technical Degree,1,208,4,Male,41,3,2,3,Married,4319,26283,1,Y,No,13,3,1,80,1,10,1,3,10,7,0,9,0.003264776,0.996735224,10,0,23754.5,"(4306.0, 4648.0]",7,7,17,1029.697291296,0.0,0.0,0.0,0.0,0.003264776,0.0,0.0,0.0,0.0,0.0,0.003264776,0.0,1,0.0
24.0,Travel_Rarely,771.0,1.0,2,Life Sciences,1,1981,2,Male,45,2,2,3,Single,4617,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2,0.06344466,0.93655534,4,0,18468.0,"(4306.0, 4648.0]",7,7,17,10750.0631904,0.06344466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06344466,0.0,1,0.0
,Travel_Frequently,575.0,1.0,2,Life Sciences,1,792,1,Female,71,1,1,4,Divorced,4364,5288,3,Y,No,14,3,1,80,1,5,2,3,2,2,2,0,0.199945488,0.800054512,2,0,15274.0,"(4306.0, 4648.0]",7,7,17,12687.740886528,0.0,0.0,0.199945488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199945488,0.0,1,0.0
42.0,Travel_Frequently,1368.0,28.0,4,Technical Degree,1,551,4,Female,88,2,2,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,0.005802447,0.994197553,6,0,20353.5,"(4306.0, 4648.0]",7,7,17,305.394390504,0.005802447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005802447,0.0,1,0.0
29.0,Travel_Frequently,442.0,2.0,2,Life Sciences,1,388,2,Male,44,3,2,4,Single,4554,20260,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9,0.051431814,0.948568186,10,0,25047.0,"(4306.0, 4648.0]",7,7,17,12504.10261968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051431814,0.0,0.0,0.0,0.051431814,1,0.0
36.0,Travel_Rarely,506.0,,3,Technical Degree,1,397,3,Male,30,3,2,2,Single,4485,26285,4,Y,No,12,3,4,80,0,10,2,3,8,0,7,7,0.455174759,0.544825241,8,0,22425.0,"(4306.0, 4648.0]",7,7,17,143571.22248378,0.0,0.0,0.0,0.0,0.0,0.0,0.455174759,0.0,0.0,0.0,0.455174759,0.0,1,0.0
33.0,Travel_Frequently,430.0,7.0,3,Medical,1,1477,4,Male,54,3,2,1,Married,4373,17456,0,Y,No,14,3,1,80,2,5,2,3,4,3,0,3,0.058563852,0.941436148,4,0,17492.0,"(4306.0, 4648.0]",7,7,17,12267.487206144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058563852,0.0,0.0,0.0,0.058563852,1,0.0
24.0,Travel_Rarely,240.0,22.0,1,Human Resources,1,1714,4,Male,58,1,1,3,Married,1555,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0,0.307856114,0.692143886,1,0,5053.75,"(1050.999, 2187.0]",0,0,0,42798.156968280004,0.0,0.307856114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307856114,0.0,0.0,1,1.0
41.0,Non-Travel,,,2,Life Sciences,1,1210,1,Male,95,2,1,1,Divorced,2107,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,0.370579753,0.629420247,1,0,6847.75,"(1050.999, 2187.0]",0,0,0,90242.099131548,0.0,0.0,0.0,0.0,0.0,0.0,0.370579753,0.0,0.0,0.0,0.370579753,0.0,1,1.0
19.0,Non-Travel,504.0,10.0,3,Medical,1,1248,1,Female,96,2,1,2,Single,1859,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0,0.621802795,0.378197205,1,0,6041.75,"(1050.999, 2187.0]",0,0,0,45874.12300392,0.0,0.0,0.0,0.0,0.0,0.0,0.621802795,0.0,0.0,0.0,0.621802795,0.0,1,1.0
21.0,Travel_Rarely,1334.0,10.0,3,Life Sciences,1,1079,3,Female,36,2,1,1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,0.537047957,0.462952043,1,0,4602.0,"(1050.999, 2187.0]",0,0,0,111220.48370287199,0.0,0.0,0.537047957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537047957,0.0,1,1.0
,Travel_Rarely,622.0,13.0,1,Medical,1,645,2,Male,40,3,1,3,Married,2096,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,0.065971591,0.934028409,7,0,9956.0,"(1050.999, 2187.0]",0,0,0,20880.800210592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065971591,0.0,0.0,0.065971591,1,1.0
21.0,Travel_Rarely,391.0,15.0,2,Life Sciences,1,30,3,Male,96,3,1,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0.076395158,0.923604842,0,0,3696.0,"(1050.999, 2187.0]",0,0,0,17675.700496776,0.0,0.0,0.0,0.0,0.0,0.0,0.076395158,0.0,0.0,0.0,0.076395158,0.0,1,1.0
38.0,Travel_Frequently,1490.0,2.0,2,Life Sciences,1,556,4,Male,42,3,1,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0,0.446668766,0.553331234,1,0,5531.5,"(1050.999, 2187.0]",0,0,0,64888.464974352,0.0,0.0,0.446668766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446668766,0.0,1,1.0
56.0,Travel_Rarely,1255.0,1.0,2,Life Sciences,1,1441,1,Female,90,3,1,1,Married,2066,10494,2,Y,No,22,4,4,80,1,5,3,4,3,2,1,0,0.022191555,0.977808445,3,0,7747.5,"(1050.999, 2187.0]",0,0,0,2794.5381380400004,0.0,0.0,0.0,0.0,0.0,0.0,0.022191555,0.0,0.0,0.0,0.022191555,0.0,1,1.0
18.0,Non-Travel,1431.0,14.0,3,Medical,1,1839,2,Female,33,3,1,3,Single,1514,8018,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0,0.137611493,0.862388507,0,0,4542.0,"(1050.999, 2187.0]",0,0,0,13240.427410488,0.0,0.0,0.0,0.0,0.0,0.0,0.137611493,0.0,0.0,0.0,0.137611493,0.0,1,1.0
,Travel_Frequently,791.0,1.0,4,Medical,1,1286,4,Male,44,3,1,3,Single,2154,6842,0,Y,Yes,11,3,3,80,0,5,2,2,4,2,0,2,0.764081225,0.235918775,4,0,8616.0,"(1050.999, 2187.0]",0,0,0,62734.1248974,0.0,0.0,0.764081225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764081225,0.0,1,1.0
27.0,Non-Travel,443.0,,3,Medical,1,850,4,Male,50,3,1,4,Married,1706,16571,1,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,0.018060662,0.981939338,0,0,5118.0,"(1050.999, 2187.0]",0,0,0,3591.3987600240002,0.0,0.0,0.0,0.0,0.0,0.0,0.018060662,0.0,0.0,0.0,0.018060662,0.0,1,1.0
44.0,Non-Travel,489.0,23.0,3,Medical,1,132,2,Male,67,3,2,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,0.017099175,0.982900825,3,0,7657.5,"(1050.999, 2187.0]",0,0,0,5138.5756743,0.0,0.0,0.017099175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017099175,0.0,1,1.0
30.0,Non-Travel,990.0,7.0,3,Technical Degree,1,1482,3,Male,64,3,1,3,Divorced,1274,7152,1,Y,No,13,3,2,80,2,1,2,2,1,0,0,0,0.095528209,0.904471791,1,0,4140.5,"(1050.999, 2187.0]",0,0,0,8198.613009216,0.0,0.0,0.0,0.0,0.0,0.0,0.095528209,0.0,0.0,0.0,0.095528209,0.0,1,1.0
18.0,Non-Travel,287.0,,2,Life Sciences,1,1012,2,Male,73,3,1,4,Single,1051,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0,0.07112462,0.92887538,0,0,3153.0,"(1050.999, 2187.0]",0,0,0,11516.21397192,0.0,0.0,0.0,0.0,0.0,0.0,0.07112462,0.0,0.0,0.0,0.07112462,0.0,1,1.0
45.0,Travel_Rarely,788.0,24.0,4,Medical,1,1049,2,Male,36,3,1,2,Single,2177,8318,1,Y,No,16,3,1,80,0,6,3,3,6,3,0,4,0.411647357,0.588352643,6,0,9796.5,"(1050.999, 2187.0]",0,0,0,41088.992586312,0.0,0.411647357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411647357,0.0,0.0,1,1.0
37.0,Travel_Rarely,,1.0,3,Life Sciences,1,391,4,Female,42,3,1,4,Single,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7,0.007507844,0.992492156,10,7,16567.5,"(1050.999, 2187.0]",0,0,0,1430.7848467679999,0.0,0.0,0.0,0.0,0.0,0.0,0.007507844,0.0,0.0,0.0,0.007507844,0.0,1,1.0
,Travel_Rarely,474.0,,3,Life Sciences,1,1581,1,Female,89,3,1,4,Married,2061,11133,1,Y,No,21,4,1,80,0,1,5,3,1,0,0,0,0.033698295,0.966301705,1,0,6698.25,"(1050.999, 2187.0]",0,0,0,4501.95741882,0.0,0.0,0.0,0.0,0.0,0.0,0.033698295,0.0,0.0,0.0,0.033698295,0.0,1,1.0
27.0,Travel_Rarely,798.0,6.0,4,Medical,1,655,1,Female,66,2,1,3,Divorced,2187,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3,0.021519498,0.978480502,5,0,9294.75,"(1050.999, 2187.0]",0,0,0,1294.5269216880001,0.0,0.0,0.0,0.0,0.0,0.0,0.021519498,0.0,0.0,0.0,0.021519498,0.0,1,1.0
,Travel_Rarely,309.0,2.0,3,Human Resources,1,1987,3,Female,82,3,1,2,Married,2187,19655,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2,0.079835862,0.920164138,2,0,7654.5,"(1050.999, 2187.0]",0,0,0,18830.086411319997,0.0,0.079835862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079835862,0.0,0.0,1,1.0
29.0,Travel_Rarely,592.0,7.0,3,Life Sciences,1,1883,4,Male,59,3,1,1,Single,2062,19384,3,Y,No,14,3,2,80,0,11,2,3,3,2,1,2,0.238047968,0.761952032,3,0,7732.5,"(1050.999, 2187.0]",0,0,0,55371.861740544,0.0,0.0,0.238047968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238047968,0.0,1,1.0
37.0,Travel_Rarely,807.0,6.0,4,Human Resources,1,133,3,Male,63,3,1,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,0.455080525,0.544919475,3,0,7773.75,"(1050.999, 2187.0]",0,0,0,129140.9310624,0.0,0.455080525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455080525,0.0,0.0,1,1.0
18.0,Travel_Rarely,230.0,,3,Life Sciences,1,405,3,Male,54,3,1,3,Single,1420,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,0.238086343,0.761913657,0,0,4260.0,"(1050.999, 2187.0]",0,0,0,72091.592315028,0.0,0.0,0.238086343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238086343,0.0,1,1.0
30.0,Travel_Rarely,241.0,7.0,3,Medical,1,1609,2,Male,48,2,1,2,Married,2141,5348,1,Y,No,12,3,2,80,1,6,3,2,6,4,1,1,0.138077093,0.861922907,6,0,9634.5,"(1050.999, 2187.0]",0,0,0,8861.235520368,0.0,0.0,0.0,0.0,0.0,0.0,0.138077093,0.0,0.0,0.0,0.138077093,0.0,1,1.0
,Travel_Rarely,104.0,2.0,3,Life Sciences,1,1569,1,Female,69,3,1,1,Divorced,2074,26619,1,Y,Yes,12,3,4,80,1,1,2,3,1,0,0,0,0.499742272,0.500257728,1,0,6740.5,"(1050.999, 2187.0]",0,0,0,159631.674460416,0.0,0.0,0.499742272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499742272,0.0,1,1.0
